# Generated trace: synthetic Zipf(a=0.80) + Poisson (50000 requests)
1,17,738,277629,131614
2,24,329,1838131,273348
3,43,22,1143436,283801
4,4,345,158663,485464
5,4,22,628143,502333
6,47,2341,2557525,682471
7,10,22,2531619,778249
8,48,183,1028706,979912
9,11,3,9446291,1367023
10,45,1026,2324368,1413103
11,11,104,457782,1415802
12,8,4221,740820,1554509
13,34,13,4555210,1609083
14,18,175,2594531,1687424
15,38,4736,2512040,1695609
16,48,6,417607,1998187
17,4,3968,298601,2090284
18,31,135,459795,2114591
19,4,2129,446484,2329544
20,16,382,670535,2749940
21,23,35,202445,3068322
22,45,3180,2854620,3489785
23,44,7,293853,3572049
24,21,68,999164,3729482
25,3,132,646693,3762163
26,16,1016,672352,3799548
27,42,29,1747163,4552918
28,26,925,2681671,4658561
29,9,4304,1828833,4908622
30,4,1263,1144627,4966177
31,28,3756,539783,5146302
32,17,28,3201998,5397814
33,30,1018,878287,5450783
34,38,1094,5686729,5490302
35,6,4969,1211194,5494907
36,14,10,292982,5519330
37,31,2989,23222595,5962321
38,5,3,1559048,5962632
39,28,7,2813097,6100454
40,9,2721,225335,6132103
41,12,1032,212691,6547748
42,5,2728,688370,6597281
43,13,631,3236805,6757847
44,11,1,4090173,7458705
45,25,47,440110,7685746
46,4,352,723312,7877069
47,40,54,3868775,8908866
48,12,27,2818291,8948744
49,16,4740,288880,9456587
50,36,1747,778897,10359364
51,6,15,10457698,10483636
52,10,150,3346239,10575597
53,24,3553,3962081,10696900
54,12,260,231286,10773380
55,49,13,1562480,11351875
56,34,22,372995,11717708
57,37,24,1266047,12244070
58,19,623,1052399,12621643
59,49,5,112866,12713528
60,18,2928,5887353,13432129
61,22,12,419194,13448718
62,6,476,665031,14072510
63,30,566,3397432,14087319
64,18,1279,180539,14131779
65,14,2810,1571964,14511603
66,24,1582,112416,14654781
67,26,1372,1420519,14738944
68,47,19,3280963,14987356
69,18,177,3671859,15560043
70,28,682,603972,15976570
71,29,3161,2239252,16092430
72,18,330,1417733,16213847
73,36,3717,2010616,16305188
74,22,411,3657299,16903666
75,47,2781,1753542,16962675
76,3,543,1204651,17173099
