# Non-stationary trace: 50000 requests, catalog=1000, shift_every=5000, trending_events=10
1,29,898,442690,240159
2,22,757,417522,242758
3,36,128,319393,379364
4,12,961,5282013,813866
5,7,147,568551,908618
6,44,607,2248716,1527134
7,15,31,8927002,1831450
8,17,694,110322,1951196
9,7,19,2524096,2044602
10,4,82,540915,2164576
11,19,17,1516164,2272402
12,33,686,649423,2773373
13,14,663,425287,2869895
14,19,723,107173,2973540
15,12,67,739861,3114138
16,21,44,1322593,3470189
17,6,3,2220837,3866836
18,2,287,1364994,3906958
19,12,819,1378005,4275514
20,36,392,1107147,4591808
21,26,175,292145,4748820
22,44,62,750172,4783878
23,47,489,447488,5198670
24,27,631,5250745,5291273
25,8,234,3501833,6262952
26,11,100,423989,6321549
27,9,66,2318175,6423997
28,34,280,1363673,6764338
29,6,632,13420199,6775947
30,19,728,2258611,7415000
31,17,335,1083520,7995005
32,25,18,401941,8029834
33,16,21,871595,8183506
34,28,475,1947612,8346090
35,10,742,3438922,8624372
36,4,33,628254,8751772
37,9,307,750494,8871168
38,8,820,335546,8882122
39,3,7,1191572,8918429
40,18,14,3237088,8940935
41,12,670,80676,9151616
42,16,946,734720,9398763
43,16,565,2579556,9851593
44,13,584,358904,10325560
45,45,3,2220837,10549183
46,47,201,1469625,10867464
47,41,346,133213,11671533
48,43,405,1765793,11678600
49,25,2,370629,11796472
50,31,134,839633,11848873
51,29,5,149030,12286064
52,18,275,5057073,12416363
53,3,870,1000846,12431748
54,13,5,149030,13048357
55,5,824,126284,13072059
56,6,272,1438969,13192891
57,49,462,455693,13234629
58,7,207,451221,13280567
59,8,62,750172,13635218
60,42,277,488886,13743842
61,39,4,2685851,13916244
62,6,309,1877776,14006528
63,15,821,648036,14034232
64,50,406,803799,14084634
65,46,405,1765793,14382897
66,22,3,2220837,14716707
67,18,108,747067,14834686
68,33,23,3560761,14873088
69,29,21,871595,14918975
70,24,2,370629,14974663
71,44,27,1785578,15394773
72,18,167,2661809,15519100
73,37,64,1884486,15732965
74,33,838,4370678,15845718
75,17,879,945551,15918614
76,16,867,273968,16004148
77,18,48,1311312,16046033
